x,y,2dKDE
-70.0,-30.0,9.54465922432701e-06
-70.0,-29.0,1.2932634423267748e-05
-70.0,-28.0,1.6449081099371703e-05
-70.0,-27.0,1.9770574633344514e-05
-70.0,-26.0,2.2646762006623443e-05
-70.0,-25.0,2.496848903361918e-05
-70.0,-24.0,2.676625147269695e-05
-70.0,-23.0,2.814682159621234e-05
-70.0,-22.0,2.9214983565478607e-05
-70.0,-21.0,3.003047583512314e-05
-70.0,-20.0,3.0616691516661986e-05
-70.0,-19.0,3.099786822217632e-05
-70.0,-18.0,3.122771159605429e-05
-70.0,-17.0,3.138924565350115e-05
-70.0,-16.0,3.1570901621532836e-05
-70.0,-15.0,3.183551844925132e-05
-70.0,-14.0,3.219605798375123e-05
-70.0,-13.0,3.26068711970645e-05
-70.0,-12.0,3.297725231631272e-05
-70.0,-11.0,3.3207490633133726e-05
-70.0,-10.0,3.3233084642303744e-05
-70.0,-9.0,3.305196470555785e-05
-70.0,-8.0,3.2717624460024114e-05
-70.0,-7.0,3.23052893453236e-05
-70.0,-6.0,3.1876952961721054e-05
-70.0,-5.0,3.146690255966986e-05
-70.0,-4.0,3.1088763664326346e-05
-70.0,-3.0,3.074991608800944e-05
-70.0,-2.0,3.046083491281298e-05
-70.0,-1.0,3.023641822431418e-05
-70.0,0.0,3.00903047682727e-05
-70.0,1.0,3.0022652488273682e-05
-70.0,2.0,3.0007645161972564e-05
-70.0,3.0,2.9998560770686573e-05
-70.0,4.0,2.996749659496558e-05
-70.0,5.0,2.9970022697333433e-05
-70.0,6.0,3.0187432922587875e-05
-70.0,7.0,3.0889203786192635e-05
-70.0,8.0,3.2300078094003316e-05
-70.0,9.0,3.44293793824133e-05
-70.0,10.0,3.696924859287663e-05
-70.0,11.0,3.934778031285257e-05
-70.0,12.0,4.0936644102258355e-05
-70.0,13.0,4.131511661657905e-05
-70.0,14.0,4.044957740891647e-05
-70.0,15.0,3.8690413838946534e-05
-70.0,16.0,3.6591622431358295e-05
-70.0,17.0,3.4657441282024705e-05
-70.0,18.0,3.3153233438602744e-05
